Country Name,Country Code,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,
Czech Republic,CZE,51.93,62.97,64.43,68.82,70.49,73.4300078241036,74.1104,74.2317116367383,75.668838699279,76.4812013779572,78.7191728513432,
Germany,DEU,75.16,78,79,82,81.26999953602,82.3499984738392,84.17,86.19,87.5898,89.6471005903368,84.3955007745673,
Djibouti,DJI,1.62,2.26,4,6.5,7,8.26723289204519,9.5,10.71,11.9224314345,13.1349151074,55.6814092453962,
Dominica,DMA,40.2744630071599,41.16,42.02,47.45,48.6,49.8,51,57.5,65,67.03,,
Denmark,DNK,85.03,85.02,86.84,88.72,89.8100133895232,92.2600117153012,94.6297,95.99,96.3305,96.9677852516645,97.0993621555621,
Dominican Republic,DOM,17.66,20.82,27.72,31.4,38,42.32,45.9,49.58,54.2157663369785,63.87,,
Algeria,DZA,9.45119062555304,10.18,11.23,12.5,14.9,18.2,22.5,29.5,38.2,42.9455268800332,,
East Asia & Pacific (excluding high income),EAP,14.3788064079605,19.2584406085185,23.766312536349,28.9574820384007,32.3822165385801,36.0611003033712,39.6964037227125,42.0464015786606,45.2146343589979,48.4267745852469,51.2753038315171,
Early-demographic dividend,EAR,7.33292182453187,8.49874324718543,9.69785764384365,12.8354250470902,15.4762500930907,18.1297456419876,20.968884101319,25.5160900112785,30.3254322315115,33.6269640084423,,
East Asia & Pacific,EAS,20.8154929914231,25.2995101051211,29.5535990899653,34.2697996825574,37.3984393438709,40.7375318363548,44.603836058529,46.8366418501962,49.8367014634226,52.9499969954877,55.5780644303195,
Europe & Central Asia (excluding high income),ECA,20.3173862143743,23.8289996753424,27.3983889077386,35.5751350029016,40.5178518380297,48.79947462429,52.7532547605849,56.8437708841667,58.8567987373081,62.4431550261505,71.5715463537115,
Europe & Central Asia,ECS,43.6161686680021,47.3184365064432,50.5406202463433,56.0940254829957,58.8102807631218,63.6031494060545,66.3236811592215,68.9972078865969,70.1069195672479,72.941770027028,76.6072917572354,
Ecuador,ECU,10.8,18.8,24.6,29.03,31.3668083587433,35.1351464545516,40.279121941,45.5903906666095,48.9404337892669,54.0629247288864,57.2722436831024,
"Egypt, Arab Rep.",EGY,16.03,18.01,20,21.6,25.6,26.4,29.4,33.8946039115275,37.8193834276939,41.2480670885772,44.9502042452857,
Euro area,EMU,61.2582556640111,64.7327043684622,67.0430159206977,70.9660047820635,71.9737843049421,74.0982022220353,75.8527695109777,77.1195896541016,77.5127658132849,79.3593948986586,79.6971549620259,
Eritrea,ERI,0.41,0.47,0.54,0.61,0.7,0.8,0.9,0.99,1.083733115675,1.177118720157,,
Spain,ESP,55.11,59.6,62.4,65.8,67.0899993926581,69.8099999420024,71.635,76.19,78.6896,80.5613329432179,84.6022457016525,
Estonia,EST,66.19,70.58,72.5,74.1,76.5,78.3899259259259,80.0043,84.2415280294352,88.4118116023915,87.2373320920335,88.1024568740199,
Ethiopia,ETH,0.37,0.45,0.54,0.75,1.1,2.9,4.6,7.7,13.8551755555556,15.3669238595896,,
European Union,EUU,60.2946655247977,64.2176431307033,67.2779882804814,70.7131503199904,71.6302500796417,73.8341400912639,75.6867709975266,77.3122650934853,77.7853780074836,80.1329362880489,78.7757840794415,
Fragile and conflict affected situations,FCS,2.98272266331529,3.02823889946983,3.9191458585685,6.04809452136397,6.88377784731578,8.48173755400223,10.307892584972,12.4053529861848,16.2559818322739,18.1122945516213,,
Finland,FIN,80.78,83.67,82.49,86.89,88.70999491353,89.879997974222,91.5144,86.5303927529377,86.4221333325445,87.7036499599455,87.4689290730615,
Fiji,FJI,10.8978310454645,13,17,20,28,33.7423567521104,35.2,37.4,42.5,46.5069783122217,,
France,FRA,66.09,70.68,71.58,77.28,77.8199989926706,81.44,81.9198,83.75,78.01,79.27,80.5,
Faroe Islands,FRO,75.98,75.57,75.18,75.2,80.7321728,85.3351892392109,90,93.3,94.2,95.1086816720257,,
"Micronesia, Fed. Sts.",FSM,13.6211327333981,14.49,15.35,20,22.8,25.9744230029883,27.8,29.65,31.501081275309,33.352162552269,,
Gabon,GAB,5.76700457562583,7.5,9.5,13,18,24,30.53803344,38.07120929,45.78453653,48.0522737506185,,
United Kingdom,GBR,75.09,78.39,83.56,85,85.3799985496322,87.4799984242111,89.8441,91.61,92.0003,94.7758006318882,,
Georgia,GEO,8.26,10.01,20.07,26.9,31.52,36.94,43.3,44,47.5697596438736,59.26,60.491257553378,
Ghana,GHA,3.85,4.27,5.44,7.8,9,10.6,15,25.51773743,31.44785241,34.66600065,,
Gibraltar,GIB,51.61,58,65.07,65,65,65.017,,,,94.4444715818151,,
Guinea,GIN,0.780025279059244,0.92,0.94,1,2,3.1,4.5,6.4,8.2,9.8,,
"Gambia, The",GMB,6.20503741852418,6.88,7.63,9.2,10.8703,12.4492287209242,14,15.56,16.5,18.5,,
Guinea-Bissau,GNB,2.20630223745003,2.35488871087933,2.30328059172582,2.45,2.672,2.89399062085531,3.1,3.32,3.540706917021,3.761413832337,,
Equatorial Guinea,GNQ,1.55712305943539,1.82,2.13,6,11.5,13.9431821913076,16.4,18.86,21.319999985207,23.779999971074,,
Greece,GRC,35.88,38.2,42.4,44.4,51.6499951676815,55.0699934418411,59.8663,63.21,66.835,69.0879154723892,,
Grenada,GRD,22.29,23.18,24.05,27,30,32,35,51.6,53.81,55.8564078225865,,
Greenland,GRL,61.07,62.82,62.83,63,64,64.8960100995989,65.8,66.7,67.600443481006,68.500873675421,,
Guatemala,GTM,7.3,8.3,9.3,10.5,12.3,16,19.7,23.4,28.8059415553524,34.5093260915602,,
Guam,GUM,46.1504736192355,48.4187021509296,50.6420283820435,54.04,57.7,61.5341593079002,65.4,69.27,73.139999947043,77.009999893206,,
Guyana,GUY,13.8,18.2,23.9,29.9,30,30.5,31,32,34,35.66,,
High income,HIC,65.258601738452,67.3789809706101,68.7891963920376,71.1909331902447,71.9373797738609,74.697610826222,76.1605521444019,77.9290411155751,79.3612192158307,81.6558676597029,,
"Hong Kong SAR, China",HKG,64.8,66.7,69.4,72,72.2,72.9,74.2,79.8662704309064,84.9483529634062,87.477846264841,89.4159446487565,
Honduras,HND,9.4,9.6,9.8,11.09,15.9,18.12,17.8,19.08,27.6198138137825,30,,
Heavily indebted poor countries (HIPC),HPC,2.32795334144462,2.51240279235299,3.1269123052199,4.72307740483261,5.32702020969345,6.59113492778765,8.04535758804657,10.3648915367153,13.8805760196495,16.0811923807541,,
Croatia,HRV,41.44,44.24,50.58,56.55,57.7899789891444,61.9399731527956,66.7476,68.57,69.8031,72.6973060458944,67.0961920368478,
Haiti,HTI,7.2,7.6,8.1,8.37,9,9.8,10.6,11.4,12.1977,12.2326016070408,,
Hungary,HUN,53.3,61,62,65,68.0199878861296,70.579998153838,72.6439,75.6531974544103,72.8347,79.2594013161699,76.7505471201922,
IBRD only,IBD,13.7357683008001,16.9458663007153,20.2859659210645,24.815063757457,28.307863697014,32.0890596498578,35.1522111411494,38.7820493157566,42.6593113427955,45.9635971053882,,
IDA & IBRD total,IBT,11.4500810774953,14.0822424664881,16.811949296068,20.5457673879138,23.3807862143228,26.5615002139514,29.2411149760246,32.6363327794645,36.2747413202386,39.2301328422377,,
IDA total,IDA,3.6891157465555,4.23217602837945,5.01351051890469,6.4653122091575,7.47629497951935,8.96578152903695,10.7768894383999,13.6944318579499,16.8516954109685,19.0154451540382,,
IDA blend,IDB,6.36768621662763,7.1222482305827,8.11476102345135,9.57249282286922,11.2440420221977,13.2052137297158,15.447442980488,17.8059874712738,20.7116624292633,22.189285541667,,
Indonesia,IDN,5.78627472934199,7.91747938492903,6.92,10.92,12.28,14.52,14.94,17.14,21.9760677113476,25.45,32.2924418958799,
IDA only,IDX,2.35332626636019,2.73420144148756,3.4057747840151,4.89379205947111,5.59434028216056,6.84592745001168,8.4653729478891,11.6577304836653,14.9383969309582,17.4416919936533,,
Isle of Man,IMN,,,,,,,,,,,,
India,IND,3.95,4.38,5.12,7.5,10.07,12.5800609138955,15.1,21,26,29.5471628858754,,
Not classified,INX,,,,,,,,,,,,
Ireland,IRL,61.158324551,65.34,67.38,69.85,74.8899729670944,76.919992540097,78.2477,83.4917223351728,83.4947916666667,85.0111321151019,84.5153886280647,
"Iran, Islamic Rep.",IRN,9.47,12.02,13.8,15.9,19,22.73,29.95,39.35,45.3349758846986,53.2267726333568,60.4163561527179,
Iraq,IRQ,0.93,1,1.06,2.5,5,7.1,9.2,13.21,17.22,21.23,49.3599988890123,
Iceland,ISL,90.6,91,93,93.39,94.8196868008949,96.2097995545657,96.5468,98.16,98.2,98.2400162999185,,
Israel,ISR,48.1280621948445,59.39,63.12,67.5,68.8738779907441,70.8,70.250311945,75.0177531628076,77.3520896572253,79.6531241815281,81.5811835871611,
Italy,ITA,40.79,44.53,48.83,53.68,54.3899983018814,55.829997993283,58.4593,55.6384602242293,58.1417349568747,61.3242527666303,61.3011427626011,
Jamaica,JAM,21.1,23.6,24.3,27.67,37.438613414848,33.79,37.1,40.4027351046672,42.2212211907441,44.3668563671334,,
Jordan,JOR,20,23,26,27.2,34.9,37,41.4,46.2,60.1143826895006,62.3021925670712,,
Japan,JPN,74.3,75.4,78,78.21,79.0541135244739,79.4964,88.219428911,89.1068330166075,91.0580283929962,93.1827212821617,90.8730421537137,
Kazakhstan,KAZ,4.02,11,18.2,31.6,50.6,61.9066274652008,63.30422443,66,70.82993359566,74.5877264735738,76.4267482325439,
Kenya,KEN,4.4,5.2,6.1,7.2,8.8,10.5,13,16.5,16.6,16.6,,
Kyrgyz Republic,KGZ,14.03,15.7,16,16.3,17.5,19.8,23,28.3,30.247042775311,34.5,,
Cambodia,KHM,0.49,0.51,0.53,1.26,3.1,4.94,6.8,14,22.32743536,32.3984517141849,33.9999991288072,
Kiribati,KIR,6,7,8.97,9.07,10,10.7467976841839,11.5,12.25,12.99748389414,13.7,,
St. Kitts and Nevis,KNA,43.5,49.2,55.7,63,63.2,64,64.6,68,75.7,76.8176749076294,,
"Korea, Rep.",KOR,78.8,81,81.6,83.7,83.7591201534472,84.07,84.77,87.5568264944747,89.9,92.8430256796075,95.097149170151,
Kuwait,KWT,34.8,42,50.8,61.4,65.7690706867398,70.45,75.46,78.7,77.52326901,78.36738376,97.9999893344615,
Latin America & Caribbean (excluding high income),LAC,22.996938225721,25.7576161747478,30.1978534467981,33.3134722572401,37.7778661346663,41.4960604820679,44.5193144740843,46.8178402918231,52.6425301462419,55.3280145470315,,
Lao PDR,LAO,1.64,3.55,6,7,9,10.747676189122,12.5,14.26,18.2,21.87,,
Lebanon,LBN,18.74,22.53,30.14,43.68,52,61.249785718304,70.5,73,74,76.11,,
Liberia,LBR,0.551376580555429,0.53,2,2.3,2.5,2.6,3.2,5.41,5.903867602799,7.31910641139578,,
Libya,LBY,4.72199937850513,9,10.8,14,14,,16.5,17.76,19.016079781565,20.27215956269,,
St. Lucia,LCA,27.9,30,31,32.5,34,34.82,36,39.7,42.530930474403,46.7290780591803,,
Latin America & Caribbean,LCN,23.712567392574,26.5097957343106,31.0394181687784,34.7118892337386,39.3525378219025,43.1824341331528,46.2610778057517,48.6168531054745,54.5717522503405,57.4039870744804,,
Least developed countries: UN classification,LDC,1.8525117435811,2.1222032832694,2.70276190872886,4.12890881687742,4.75950110063912,6.01964838199484,7.48840416726555,10.3984046242636,13.21815394334,15.6463248108015,,
Low income,LIC,1.93167221358406,2.57705850135183,3.27663176025211,4.33998208924259,4.88564730801765,5.93474061480803,7.32719453806597,8.97929345670781,11.7475980818623,13.5966179806928,,
Liechtenstein,LIE,65.080218443168,70,75,80,85,89.4077,93.8,95.21,96.6411950959488,98.0939038921672,,
Sri Lanka,LKA,3.88,5.8,8.78,12,15,18.2854,21.9,25.8,29.988737549341,32.0510027436177,,
Lower middle income,LMC,5.74687082803635,6.77733881721034,7.83228994717087,10.7891193453984,13.0025590031549,15.5291505288884,18.1593339274585,22.6011122052895,26.8001479910905,29.8555655168725,,
Low & middle income,LMY,10.9209932319665,13.5276772925499,16.1975960730895,19.8704787136752,22.6808499216508,25.8671896396867,28.671063031452,32.0608779868218,35.6945652462478,38.635026809408,,
Lesotho,LSO,3.44543125970873,3.58,3.72,3.86,7,10,15,22,25,27.36,,
Late-demographic dividend,LTE,19.9738294449533,25.1977932684412,30.5982464278246,36.0336827218359,40.0493908489,44.710996930263,48.3688675423222,50.9098012062194,53.4885031925827,56.6239069881053,58.4543148301553,
Lithuania,LTU,49.9,55.22,59.76,62.12,63.6399774002179,67.2299893276414,68.4529,72.13,71.378,74.3766455618662,77.6152565124514,
Luxembourg,LUX,78.92,82.23,87.31,90.62,90.0298585646936,91.9499237417387,93.7765,94.67,96.38,98.1366986657616,97.8276261299372,
Latvia,LVA,59.17,63.41,66.84,68.42,69.7499545592245,73.1199437663748,75.2344,75.83,79.2006,79.8420977843089,81.3158617001063,
"Macao SAR, China",MAC,47.327,49.24,54,55.198,60.2036967182195,61.31,65.8,69.78,77.6001318608868,81.6429854646415,83.1740890688259,
St. Martin (French part),MAF,,,,,,,,,,,,
Morocco,MAR,21.5,33.1,41.3,52,46.107482597,55.4160531914894,56,56.8,57.08,58.271236420398,61.7622120123071,
Monaco,MCO,64.3776824034335,67.25,70.1,75,80.3,87,90.7,92.4,93.3633020180933,95.2081779700534,,
Moldova,MDA,20.45,23.39,27.5,32.3,38,43.37,60,67,69,70.9999991066624,,
Madagascar,MDG,0.65,1.65,1.63,1.7,1.9,2.3,3,3.7,4.173972190007,4.713662899498,9.8,
Maldives,MDV,16.3,23.2,24.8,26.53,34,38.9301,44.1,49.28,54.461955146942,59.0925899654109,,
Middle East & North Africa,MEA,15.0759003361455,18.7529952901362,21.6184156541854,24.8726792271827,27.8359589419533,31.6111871157586,35.3283433995492,40.2402167124595,44.4072702529112,48.3315062336771,58.611218302696,
Mexico,MEX,20.81,21.71,26.34,31.05,37.1762954125184,39.75,43.46,44.39,57.4310429923633,59.5404459967255,63.8522490942939,
Marshall Islands,MHL,3.95,4.6,5.6,7,10,12.5,14,16.8,19.282441803511,29.7877793626081,,
Middle income,MIC,11.9268155700697,14.780280996232,17.6982321079007,21.6523756043459,24.7940917762341,28.2700039180814,31.22103523258,34.8605599137774,38.64313245807,41.7656739441088,,
"Macedonia, FYR",MKD,36.3,46.04,51.77,51.9,56.7,57.449947312961,65.24,68.06,70.3802,72.1568144676058,,
Mali,MLI,0.81,1.57,1.8,2,2.2,2.8,3.5,7,10.33,11.1121864890589,,
Malta,MLT,46.9,50.08,58.86,63,68.0198237885462,68.1998742928975,68.9138,73.17,75.96,77.2893948185413,80.0713778398625,
Myanmar,MMR,0.217128445069958,0.22,0.22,0.25,0.98,4,8,11.52,21.72583401,25.07330424,,
Middle East & North Africa (excluding high income),MNA,11.9482906027904,15.0734935327237,17.7876099355422,20.7333035221605,23.0204479366452,26.2741709603317,29.8061155579171,34.8392581629025,39.1394850554804,43.1049810139874,53.0825117804765,
Montenegro,MNE,30.8,32.9,35.1,37.5,35.6115412460109,56.8387825490631,60.31,61,68.1195810359317,69.8816468416779,71.2723325399382,
Mongolia,MNG,9,9.8,10,10.2,12.4999911084745,16.4,17.699984237,19.9424474349209,22.5,22.2657705007562,,
Northern Mariana Islands,MNP,,,,,,,,,,,,
Mozambique,MOZ,0.91,1.56,2.68,4.17,4.3,6,7.29393733,9.236314896,16.93353299,17.5212390868424,,
Mauritania,MRT,1.43361319586788,1.87,2.28,4,4.5,5,6.2,10.7,15.199126690825,18,,
Mauritius,MUS,20.22,21.81,22.51,28.33,34.95,35.42,40.116825135,44.8032753683379,50.1393184766711,52.1913259356523,,
Malawi,MWI,0.965864736553132,0.7,1.07,2.26,3.33,4.3506,5.05,5.83,9.2981483471244,11.47,,
Malaysia,MYS,55.7,55.8,55.9,56.3,61,65.8,57.05751226,63.6654258813225,71.0640678111957,78.7883099275229,80.1404790103961,
North America,NAC,74.8217513215343,74.2693498230809,71.9267575100117,72.5503537967145,71.0589108031186,75.5346975521273,72.8512531931216,74.4268352717389,75.9638260207644,77.6970673303378,,
Namibia,NAM,4.83561077833704,5.32900377208954,6.5,11.6,12,12.9414,13.9,14.84,25.68785182,31.0333459383454,,
New Caledonia,NCL,35.05,34.51,33.99,42,50,58,66,70,74.00175279141,,,
Niger,NER,0.390390619762082,0.7,0.76,0.83,0.9,1.05,1.15,1.24867568902241,2.476219975,4.32275803028068,10.2243115586561,
Nigeria,NGA,6.77,8,9.3,11.5,13.8,16.1,19.1,21,24.5,25.67,,
Nicaragua,NIC,3.9,5.3,7.3,10,10.6,13.5,15.5,17.6,19.704291498993,24.5718339595365,,
Netherlands,NLD,85.82,87.42,89.63,90.72,91.4199957622284,92.859992359525,93.9564,91.666666,91.7241379310345,90.4109589041096,93.1972789115646,
Norway,NOR,86.93,90.57,92.08,93.39,93.4899826515194,94.6499780533304,95.0534,96.3,96.8103,97.2982036675068,96.5085185390676,
Nepal,NPL,1.41,1.73,1.97,7.93,9,11.1493,13.3,15.44,17.58161800656,19.688763836629,,
Nauru,NRU,,,,,54,,,,,,,
New Zealand,NZL,69.76,72.03,79.7,80.46,81.23,81.644470179502,82.78,85.5,88.22288881795,88.470186347099,,
OECD members,OED,61.8704729168657,63.9153717987651,65.3373239994248,67.6266746299878,68.5462423209366,70.9509796321084,72.2734694360169,73.8900054091998,76.3950454857848,78.6833493661164,,
Oman,OMN,16.68,20,26.8,35.8278,48,60,66.45,70.22,73.53,76.85,,
Other small states,OSS,16.0444847938298,18.6496871692211,20.6277485096481,24.1919171702151,27.7936250192373,31.0933568946417,35.9386306328612,39.7137343536176,43.1862916535416,45.7299346232056,,
Pakistan,PAK,6.8,7,7.5,8,9,9.96,10.9,12,14,15.5145577897414,,
Panama,PAN,22.29,33.82,39.08,40.1,42.7,40.3018952210488,44.03,44.92,51.2054249948687,54,,
Peru,PER,25.2,30.57,31.4,34.77,36.01,38.2,39.2,40.2,40.9,45.4617406869459,48.7276314608234,
Philippines,PHL,5.97,6.22,9,25,29,36.2351,48.099023589,49.6,53.7,55.5,,
Palau,PLW,,,,,,,,,,,,
Papua New Guinea,PNG,1.79055936140245,1.15,1.61,1.28,2,3.5,5.1,6.5,7.9,9.60153846153846,,
Poland,POL,48.6,53.13,58.97,62.32,61.94999896898,62.3099972714691,62.8492,66.6,67.997,73.3007,75.9853659493832,
Pre-demographic dividend,PRE,3.22931511152181,3.65992947301619,4.3613257258537,6.09975445055936,7.07615526767653,8.5579535233281,10.2826849325558,12.3479814112254,15.2046088434955,17.1134249269799,,
Puerto Rico,PRI,27.86,38,41.5,45.3,48,68.9999826014151,68.999990004,,63.47,68.64,,
"Korea, Dem. People’s Rep.",PRK,0,0,0,0,0,0,,,,,,
Portugal,PRT,42.09,44.13,48.27,53.3,55.2499968797194,60.3399974868057,62.0956,64.59,68.6329,70.423567088723,73.7912139515729,
Paraguay,PRY,11.21,14.27,18.9,19.8,24.7635158793993,29.34,36.9,43,49.72,53.4,61.0757562215797,
West Bank and Gaza,PSE,21.176,24.358,32.23,37.4,41.08,43.4,46.6,53.67,57.42419241388,61.17838482746,,
Pacific island small states,PSS,7.39342507389027,8.69204710512814,10.871565505558,12.9746966776439,17.6487885830767,20.7210436896678,22.0312360967181,24.7368187548259,27.9469274518387,30.6072134708858,,
Post-demographic dividend,PST,65.6598352241353,67.6522650547597,68.8652280501432,70.9795590586796,71.430088668067,74.228313772579,75.7347464363736,77.3991187021954,78.7120355154166,80.8956419867703,,
French Polynesia,PYF,28.59,33.87,44.6,49,49,52.8766305867993,56.8,60.68,64.560209747212,68.440419493378,,
Qatar,QAT,37,44.3,53.1,69,69,69.3,85.3,91.49,92.8848264535481,94.2911181549896,,
Romania,ROU,28.3,32.42,36.6,39.93,40.0099967810008,45.8799942529424,49.7645,54.08,55.7632,59.5039512852713,63.7472821822484,
Russian Federation,RUS,24.66,26.83,29,43,49,63.8,67.97,70.52,70.1,73.091434617897,76.0081385339105,
Rwanda,RWA,2.11538717825754,4.5,7.7,8,7,8.02385427694765,9,10.6,18,20,,
South Asia,SAS,3.96509886727022,4.40893543840264,5.14946775721559,7.20578379120846,9.39809663550123,11.5208599387926,13.7562134401879,19.0832762245184,23.2035725566791,26.4777357008626,,
Saudi Arabia,SAU,30,36,38,41,47.5,54,60.5,64.713657369019,69.6162358014004,74.88,80.0757586183677,
Sudan,SDN,8.66,,,16.7,17.46,21,22.7,24.64,26.61,28,,
Senegal,SEN,6.89,7.12,7.5,8,9.8,10.8,13.1,17.7,21.690264133037,25.6647680413953,,
Singapore,SGP,69.9,69,69,71,71,72,80.90205685,79.0292358633435,79.0129570025584,84.45,84.4495387806342,
Solomon Islands,SLB,2,3,4,5,6,6.9974,8,9,10.000464982561,11.000902271205,,
Sierra Leone,SLE,0.239834698546233,0.25,0.26,0.58,0.9,2.5,4,6.057298984,6.344421603,11.77318438,,
El Salvador,SLV,6.11,10.08,12.11,15.9,18.9,20.3213877242007,23.1093,24.7617121459061,26.8026049600572,28.997073045597,,
San Marino,SMR,50.3648221088655,54.52,54.21,,49.6,,,,,,,
Somalia,SOM,1.12223562161375,1.14268737216185,1.16061054246061,,1.25,1.3767,1.5,1.63,1.76,1.88,,
Serbia,SRB,33.15,35.6,38.1,40.9,42.2,48.1,53.450364175,62.0750804639377,65.3170254003801,67.0568413716938,70.3308355269141,
Sub-Saharan Africa (excluding high income),SSA,3.41805503974005,3.87628950734595,4.59867606715362,6.98894466171132,8.37930322665795,10.2596522585961,12.3202791101606,14.6830400486311,18.0637584483891,19.8473582909389,,
